reaction formula	model.dG0	dG0_prime	dGm_prime	dG0_std
galct__D_p + h_p <=> galct__D_c + h_c	0.0	0.0	0.0	0.0
galct__D_e <=> galct__D_p	0.0	0.0	0.0	0.0
atp_c + gal_c <=> adp_c + gal1p_c + h_c	31.8946004261	-8.33187391056	-8.33187391056	1.84468499367
gal_bD_p --> gal_p	0.0	0.0	0.0	0.0
h2o_c + melib_c --> gal_c + glc__D_c	nan	nan	nan	0.0
gicolipa_c + udpg_c --> gagicolipa_c + h_c + udp_c	nan	nan	nan	0.0
galt_p + pep_c --> galt1p_c + pyr_c	-44.9599878709	-42.6604452265	-42.6604452265	1.78536504717
galt_e <=> galt_p	0.0	0.0	0.0	0.0
galur_p + h_p <=> galur_c + h_c	nan	nan	nan	0.0
galur_e <=> galur_p	nan	nan	nan	0.0
g1p_c + h_c + utp_c --> ppi_c + udpg_c	nan	nan	nan	0.0
atp_c + gal_p + h2o_c --> adp_c + gal_c + h_c + pi_c	nan	nan	nan	0.0
gal_p + h_p --> gal_c + h_c	0.0	0.0	0.0	0.0
gal_e <=> gal_p	0.0	0.0	0.0	0.0
gam6p_p + 2.0 pi_c --> gam6p_c + 2.0 pi_p	0.0	0.0	0.0	0.0
gam6p_e <=> gam6p_p	0.0	0.0	0.0	0.0
gam_p + pep_c --> gam6p_c + pyr_c	-44.9599878709	-40.4888804575	-40.4888804575	1.78536504717
gam_e <=> gam_p	0.0	0.0	0.0	0.0
g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c	nan	nan	nan	0.0
10fthf_c + gar_c <=> fgam_c + h_c + thf_c	48.9888754408	5.60430006568	5.60430006568	9.42011515691
atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c	nan	nan	nan	0.0
gbbtn_e <=> gbbtn_p	0.0	0.0	0.0	0.0
gcald_c + h2o_c + nad_c --> glyclt_c + 2.0 h_c + nadh_c	nan	nan	nan	0.0
gdpddman_c --> gdpofuc_c	0.0	0.0	0.0	0.0
atp_c + gdp_c --> amp_c + h_c + ppgpp_c	83.9550359058	-15.4026371055	-15.4026371055	13.5212599338
gdpmann_c + h2o_c --> gdp_c + h_c + man_c	nan	nan	nan	0.0
gdpmann_c + h2o_c --> gmp_c + 2.0 h_c + man1p_c	nan	nan	nan	0.0
gdp_e <=> gdp_p	0.0	0.0	0.0	0.0
f6p_c + gln__L_c --> gam6p_c + glu__L_c	-20.1683533181	-19.5305912053	-19.5305912053	4.11152691203
ggbutal_c + h2o_c + nadp_c <=> gg4abut_c + 2.0 h_c + nadph_c	nan	nan	nan	0.0
gg4abut_c + h2o_c --> 4abut_c + glu__L_c	nan	nan	nan	0.0
ggptrc_c + h2o_c + o2_c --> ggbutal_c + h2o2_c + nh4_c	nan	nan	nan	0.0
atp_c + glu__L_c + ptrc_c --> adp_c + ggptrc_c + h_c + pi_c	nan	nan	nan	0.0
ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c	nan	nan	nan	0.0
atp_c + gmp_c <=> adp_c + gdp_c	-44.7646961518	-2.03881016458	-2.03881016458	0.698011490678
glycogen_c --> bglycogen_c	nan	nan	nan	0.0
accoa_c + glc__D_c <=> acglc__D_c + coa_c	-10.0738561594	-10.1155720871	-10.1155720871	3.13423909884
