cid,dG0_f
C01448, -652.65
C01449, -171.66
C01450,     nan
C01451, -957.49
C01452, -908.43
C01453,  288.52
C01454, -214.77
C01455,  119.06
C01456, -356.04
C01457,-1852.22
C01458, -383.97
C01460,-1029.22
C01464,   41.68
C01467,  -84.10
C01468,  -84.10
C01469,     nan
C01470, -481.82
C01471,  -51.21
C01474, -455.23
C01477, -486.76
C01478,     nan
C01479, -254.92
C01481, -527.71
C01484,  240.45
C01485,     nan
C01486,     nan
C01487, -918.86
C01488, -755.28
C01489, -946.02
C01490,     nan
C01491,     nan
C01493,     nan
C01494, -522.78
C01495,  -80.45
C01496,     nan
C01498,     nan
C01499,   73.81
C01500,   33.73
C01501,     nan
C01502, -283.10
C01504,  -15.76
C01505, -833.43
C01506,     nan
C01507, -943.21
C01508, -759.75
C01510, -757.86
C01512,-1407.25
C01513,    9.34
C01514, -689.91
C01516,     nan
C01517, -307.10
C01518,-1579.78
C01520,     nan
C01523,  151.53
C01525,     nan
C01526, -140.04
C01527, -959.67
C01528,     nan
C01529,     nan
C01530, -246.02
C01531,     nan
C01533,-1259.77
C01536, -418.94
C01537,   -6.57
C01540, -627.37
C01541,  184.45
C01542,  -84.10
C01545,  -97.09
C01546, -265.89
C01547,     nan
C01548,     nan
C01550, -466.96
C01551, -391.94
C01552,-1171.53
C01553,  369.03
C01554,  143.32
C01555,-1458.64
C01557,   -0.47
C01558, -670.31
C01559,     nan
C01561, -120.34
C01562, -303.83
C01563, -377.82
C01564, -456.50
C01566,   44.19
C01567, -215.06
C01569, -795.36
C01570, -348.15
C01571, -301.74
C01572,-1395.25
C01573,     nan
C01574,     nan
C01575,   -4.01
C01576,-1676.00
C01579,     nan
C01581,-2827.58
C01582, -905.95
C01585, -329.60
C01586, -353.14
C01588, -174.58
C01589,  167.30
C01590, -768.45
C01591, -385.76
C01592, -570.84
C01593,-1125.65
C01594, -774.09
C01595,  -80.31
C01596, -430.68
C01598, -117.12
C01599,     nan
C01600,     nan
C01601, -308.71
C01602, -367.55
C01604,-1368.69
C01606, -549.39
C01607, -221.37
C01608,  235.17
C01609,     nan
C01610, -181.13
C01612,     nan
C01613,-2910.36
C01614,     nan
C01615,     nan
C01616,-1072.65
C01617,-1046.33
C01618, -487.18
C01619, -313.24
C01620, -817.94
C01621,     nan
C01623,-2988.36
C01624, -376.65
C01625,-1431.39
C01626,     nan
C01628,     nan
C01629,     nan
C01630,-1268.08
C01632, -164.84
C01633, -124.21
C01635,     nan
C01636,   -0.00
C01637,     nan
C01638,     nan
C01639,     nan
C01640,     nan
C01641,     nan
C01642,     nan
C01643,    0.00
C01644,    0.00
C01645,     nan
C01646,   -0.00
C01647,     nan
C01648,   -0.00
C01649,     nan
C01650,    0.00
C01651,   -0.00
C01652,     nan
C01653,   -0.00
C01654,     nan
C01655, -891.34
C01656,     nan
C01657, -504.71
C01658,     nan
C01659, -101.57
C01661,-1429.36
C01663,     nan
C01664,     nan
C01667,     nan
C01670, -217.80
C01672,  -35.61
C01673, -290.60
C01674,-1525.84
C01675, -638.64
C01677, -335.27
C01678,  -23.36
C01680, -966.46
C01682, -876.25
C01683, -969.88
C01684, -758.51
C01685, -971.30
C01687,-1515.39
C01688,-1761.18
C01690,  -58.90
C01691, -631.57
C01692,     nan
C01693, -466.28
C01694,  179.80
C01695,     nan
C01697, -945.68
C01698,-2251.41
C01699,     nan
C01700,-1050.59
C01701, -620.18
C01702,     nan
C01705,-1162.49
C01706,     nan
C01707,     nan
C01708,     nan
C01709, -871.13
C01710,  -39.04
C01711,-1574.91
C01712, -165.80
C01714,-1029.22
C01715,     nan
C01716, -170.91
C01717, -300.90
C01718, -315.70
C01719, -914.96
C01720, -966.46
C01721, -752.18
C01722, -946.02
C01723,     nan
C01724,  138.80
C01725,-1574.91
C01726,-1027.28
C01727,    4.66
C01728,-1587.23
C01729, -536.35
C01731,     nan
C01732, -594.15
C01733, -321.48
C01735,     nan
C01736, -212.56
C01737,-1772.31
C01739, -543.40
C01740,    2.11
C01742,-1586.60
C01743,-1029.92
C01744, -404.78
C01745,  -51.20
C01746,   56.89
C01747, -833.27
C01748,  207.53
C01750,-1274.29
C01751, -288.04
C01752, -243.36
C01753,   75.79
C01754,     nan
C01755,   92.61
C01756,     nan
C01757, -572.00
C01759,-1396.10
C01760, -337.79
C01761,     nan
C01762, -616.73
C01764,     nan
C01765, -130.97
C01766, -130.97
C01767,  -26.09
C01768,     nan
C01769, -289.74
C01770, -256.15
C01771, -263.31
C01772, -324.56
C01775,     nan
C01776,-2311.82
C01777,     nan
C01779,  305.09
C01780, -530.68
C01782,   -1.93
C01783,     nan
C01784,  174.96
C01785, -288.04
C01788,-2599.60
C01789,   68.82
C01790,     nan
C01792,     nan
C01793,     nan
C01794,-3531.71
C01795, -461.49
C01796, -601.91
C01798,     nan
C01799, -350.72
C01800,  -24.67
C01801, -587.60
C01802,  135.46
C01804,  173.40
C01806,     nan
C01810,-2908.14
C01812,     nan
C01813,     nan
C01814, -140.99
C01816,   81.63
C01817, -647.88
C01818,  -32.72
C01819,  225.65
C01821,-1232.38
C01822,-1553.84
C01823,-1546.38
C01825, -915.60
C01826, -350.72
C01829, -188.74
C01832,-3149.22
C01833, -484.55
C01834,     nan
C01835,-2243.96
C01836,     nan
C01837,  -20.82
C01838,  -28.42
C01839, -621.08
C01841,     nan
C01842, -169.32
C01843, -300.82
C01844, -910.83
C01845, -184.69
